frame,running,walking,idle,S,dS,p_iw,p_wi,p_iwr,p_ri,fps
41,0,0.17,0.83,0.7097083,-0.001227796,0.1477329,0.7729377,0,0.8580001,67.82809
42,0,0.15,0.85,0.7084846,-0.001223683,0.1388155,0.8003425,0,0.8809911,73.1291
43,0,0.25,0.75,0.7042689,-0.004215717,0.2083356,0.7248318,0,0.8295503,68.3725
44,0,0.16,0.84,0.7029631,-0.001305759,0.1641236,0.8003589,0,0.8904229,84.2736
45,0,0.12,0.88,0.7013084,-0.001654685,0.1080864,0.8659279,0,0.9545975,79.30271
46,0,0.15,0.85,0.69323,-0.008078456,0.1381274,0.8415426,0,0.9330065,79.75713
47,0,0.21,0.79,0.693068,-0.0001619458,0.1806056,0.7949845,0,0.8835589,48.46852
48,0,0.16,0.84,0.6929283,-0.0001397729,0.1353683,0.8168306,0,0.9029281,83.07229
49,0,0.21,0.79,0.6884404,-0.004487872,0.1814434,0.7547938,0,0.8585011,68.03234
50,0,0.23,0.77,0.6857429,-0.002697468,0.1588464,0.7610337,0,0.8455247,69.09987
51,0,0.23,0.77,0.6794513,-0.006291568,0.193315,0.7129359,0,0.7955747,75.0713
52,0,0.22,0.78,0.6810172,0.001565874,0.1784,0.7035458,0,0.7704445,80.75701
53,0,0.27,0.73,0.6785581,-0.002459109,0.200464,0.7016196,0,0.7794934,72.78594
54,0,0.21,0.79,0.6758289,-0.002729177,0.1926546,0.7161747,0,0.8225425,58.99311
55,0,0.16,0.84,0.6707824,-0.005046487,0.1544269,0.7971365,0,0.8914005,72.85738
56,0,0.2,0.8,0.6677123,-0.003070116,0.166,0.7887556,0,0.8680161,71.26042
57,0,0.15,0.85,0.6662145,-0.001497805,0.1317127,0.8214357,0,0.9072379,85.82085
58,0,0.23,0.77,0.6674626,0.001248121,0.166507,0.7784344,0,0.8751952,70.75425
59,0,0.23,0.77,0.6657683,-0.001694322,0.1728447,0.746998,0,0.8303263,85.72883
60,0,0.19,0.81,0.6666726,0.0009042621,0.176936,0.7548046,0,0.8520724,61.30616
61,0,0.16,0.84,0.6750073,0.008334756,0.1540966,0.7781611,0,0.8582723,87.81259
62,0,0.22,0.78,0.6721678,-0.002839565,0.1833749,0.7529731,0,0.8761199,70.40912
63,0,0.18,0.82,0.6737227,0.001554906,0.1821257,0.7711165,0,0.8610676,80.18172
64,0,0.17,0.83,0.6750839,0.001361191,0.1355775,0.8318819,0,0.9190502,85.69348
65,0,0.16,0.84,0.6756441,0.0005602241,0.1480917,0.7720205,0,0.875295,65.14524
66,0,0.18,0.82,0.6765485,0.0009044409,0.1411756,0.7798607,0,0.8708242,78.95728
67,0,0.22,0.78,0.6762346,-0.0003139377,0.1618059,0.729553,0,0.8368977,70.39163
68,0,0.27,0.73,0.6767154,0.0004808307,0.2130629,0.6833145,0,0.7683036,69.106
69,0,0.28,0.72,0.6717696,-0.004945815,0.2027779,0.7114908,0,0.7895452,87.64719
70,0,0.3,0.7,0.6731855,0.001415908,0.2313816,0.7149125,0,0.8169739,76.03429
71,0,0.18,0.82,0.6770215,0.003835976,0.158103,0.7768493,0,0.8778402,65.57823
72,0,0.19,0.81,0.6760668,-0.0009547472,0.1667037,0.799041,0,0.8977625,91.08876
73,0,0.19,0.81,0.6766853,0.0006185174,0.1736404,0.7750257,0,0.8832332,74.66856
74,0,0.15,0.85,0.6788512,0.002165973,0.1327953,0.805155,0,0.8695756,71.12063
75,0,0.12,0.88,0.6842325,0.005381286,0.1167326,0.8570971,0,0.9402767,76.95387
76,0,0.19,0.81,0.6845115,0.0002790093,0.1799846,0.7329103,0,0.8132371,78.13021
77,0,0.23,0.77,0.6868923,0.002380788,0.1824467,0.7205635,0,0.7834657,66.03381
78,0,0.27,0.73,0.6893473,0.002454937,0.1962674,0.7199675,0,0.8048205,81.45963
79,0,0.2,0.8,0.6951182,0.005770922,0.162318,0.7396781,0,0.8226194,69.55152
80,0,0.19,0.81,0.698953,0.003834844,0.1431139,0.8095934,0,0.8937216,76.65116
81,0,0.15,0.85,0.7013552,0.002402186,0.1647388,0.7993113,0,0.9039588,86.29594
82,0,0.14,0.86,0.7031375,0.001782238,0.1139971,0.7835085,0,0.85926,86.96025
83,0,0.24,0.76,0.7026161,-0.0005213618,0.1681726,0.7820533,0,0.8780995,64.27895
84,0,0.18,0.82,0.7136968,0.01108074,0.1749914,0.738049,0,0.8209103,77.93102
85,0,0.18,0.82,0.719667,0.00597018,0.1478891,0.7421644,0,0.861779,80.3781
86,0,0.16,0.84,0.7234883,0.003821254,0.1333737,0.7905341,0,0.8845547,79.10352
87,0,0.13,0.87,0.7274042,0.003915906,0.1035954,0.8042105,0,0.8965577,78.07152
88,0,0.26,0.74,0.7336712,0.006267071,0.17938,0.7174195,0,0.7912961,78.63863
89,0,0.16,0.84,0.7343236,0.0006523132,0.1257915,0.8032206,0,0.8903593,80.95412
90,0,0.2,0.8,0.7354785,0.0011549,0.1720318,0.7457004,0,0.8425137,74.61138
91,0,0.13,0.87,0.7353227,-0.0001557469,0.1377176,0.812268,0,0.891762,71.70291
92,0,0.28,0.72,0.7376176,0.002294838,0.1929608,0.713428,0,0.8018857,80.94991
93,0,0.19,0.81,0.7430439,0.005426347,0.1522536,0.7726016,0,0.8521547,69.36738
94,0,0.18,0.82,0.7454683,0.002424359,0.169139,0.7572877,0,0.8476102,70.12249
95,0,0.26,0.74,0.7506299,0.005161643,0.2110091,0.7058682,0,0.7916114,85.12494
96,0,0.23,0.77,0.7516842,0.001054347,0.1799846,0.7535493,0,0.8388792,73.84444
97,0,0.2,0.8,0.75094,-0.0007442236,0.1826094,0.7795434,0,0.8902185,71.32563
98,0,0.14,0.86,0.7506008,-0.0003392696,0.1082797,0.836351,0,0.9320242,87.63242
99,0,0.27,0.73,0.7508517,0.0002509356,0.2089576,0.7333483,0,0.8008823,75.84009
100,0,0.16,0.84,0.7533019,0.002450168,0.1281211,0.8341793,0,0.9080481,82.12263
101,0,0.16,0.84,0.7530097,-0.000292182,0.1187212,0.8144234,0,0.8849197,75.8198
102,0,0.22,0.78,0.7530696,5.990267E-05,0.1871835,0.7126136,0,0.821297,71.50722
103,0,0.18,0.82,0.7546381,0.001568556,0.1510941,0.7875445,0,0.8727824,77.41051
104,0,0.2,0.8,0.7585964,0.003958225,0.1793799,0.7249628,0,0.7975397,85.86813
105,0,0.12,0.88,0.7588553,0.0002589226,0.1183362,0.8158436,0,0.9185719,76.54202
106,0,0.22,0.78,0.7595778,0.0007225275,0.1383484,0.7643543,0,0.8388146,75.45282
107,0,0.18,0.82,0.7587684,-0.0008094311,0.1779074,0.7627169,0,0.8424189,83.79118
108,0,0.21,0.79,0.7548265,-0.003941894,0.1363332,0.7919198,0,0.8731955,84.49971
109,0,0.19,0.81,0.752323,-0.002503514,0.1997754,0.7086789,0,0.7991865,62.32207
110,0,0.21,0.79,0.747432,-0.004890978,0.149207,0.7883539,0,0.8862583,69.99812
111,0,0.21,0.79,0.7427289,-0.004703045,0.162255,0.7566251,0,0.8593631,73.4184
112,0,0.19,0.81,0.7437111,0.0009821653,0.1411756,0.8087703,0,0.9089536,86.01975
113,0,0.19,0.81,0.7397606,-0.003950477,0.1506385,0.7708695,0,0.8499473,71.57944
114,0,0.16,0.84,0.7371233,-0.002637386,0.1416312,0.7782002,0,0.8817928,78.38163
115,0,0.2,0.8,0.7349901,-0.002133131,0.1674731,0.7745854,0,0.8592589,62.91313
116,0,0.14,0.86,0.7344544,-0.0005357265,0.1229852,0.7948752,0,0.8896508,79.73266
117,0,0.25,0.75,0.7345772,0.0001228452,0.1749913,0.7575089,0,0.8502941,65.04874
118,0,0.2,0.8,0.7358367,0.001259506,0.1674731,0.7470817,0,0.834264,76.92159
119,0,0.21,0.79,0.736845,0.001008272,0.1789378,0.7362685,0,0.8444448,71.61726
120,0,0.24,0.76,0.7408327,0.00398767,0.1610395,0.7380749,0,0.8263707,76.66247
121,0,0.21,0.79,0.7474818,0.006649137,0.1813595,0.7377981,0,0.8061398,83.99434
122,0,0.17,0.83,0.7462188,-0.001263022,0.1686232,0.7681825,0,0.8500159,82.25697
123,0,0.15,0.85,0.7481005,0.001881719,0.1652145,0.7698193,0,0.850588,89.63019
124,0,0.11,0.89,0.7441053,-0.00399518,0.1098742,0.8571332,0,0.9647098,64.94576
125,0,0.12,0.88,0.7390376,-0.005067766,0.1658269,0.7487223,0,0.8318611,58.06041
126,0,0.24,0.76,0.7369684,-0.002069175,0.1966318,0.7404926,0,0.851355,82.49639
127,0,0.25,0.75,0.7288512,-0.008117199,0.1982642,0.7386773,0,0.8270158,86.09814
128,0,0.28,0.72,0.7238747,-0.004976511,0.2279947,0.6900017,0,0.7617018,83.06343
129,0,0.15,0.85,0.7201016,-0.003773093,0.1524918,0.7863484,0,0.863938,91.62683
130,0,0.21,0.79,0.7177251,-0.002376497,0.1187212,0.8335925,0,0.9171665,71.94116
131,0,0.22,0.78,0.7135908,-0.004134297,0.1506385,0.7497219,0,0.8069476,66.69632
132,0,0.14,0.86,0.7097158,-0.003874958,0.1218601,0.8016737,0,0.8991744,84.35112
133,0,0.28,0.72,0.7044026,-0.005313277,0.2021132,0.6890271,0,0.7993484,94.13037
134,0,0.21,0.79,0.7033992,-0.001003385,0.1943061,0.7186348,0,0.8044906,62.98175
135,0,0.17,0.83,0.7029441,-0.0004550815,0.1549032,0.788981,0,0.8883072,62.68544
136,0,0.17,0.83,0.7023741,-0.0005699992,0.1510228,0.8220723,0,0.9251161,88.89926
137,0,0.13,0.87,0.7002721,-0.002101958,0.1573972,0.7706562,0,0.8760808,72.47968
138,0,0.23,0.77,0.6992238,-0.001048326,0.1698909,0.7571281,0,0.8469475,90.58328
139,0,0.28,0.72,0.6994966,0.0002727509,0.1889636,0.7841416,0,0.8581859,85.27861
140,0,0.14,0.86,0.697774,-0.001722574,0.1510228,0.7801594,0,0.8501471,89.91711
141,0,0.18,0.82,0.6932079,-0.004566133,0.1381274,0.8146381,0,0.8973213,80.48599
142,0,0.18,0.82,0.692867,-0.0003408194,0.1414688,0.8062397,0,0.8811201,78.48817
143,0,0.16,0.84,0.6938547,0.000987649,0.1420514,0.82701,0,0.9259489,60.49372
144,0,0.15,0.85,0.6963384,0.002483666,0.1436585,0.8181901,0,0.8841202,81.71797
145,0,0.26,0.74,0.7018201,0.00548178,0.1958418,0.7335979,0,0.8208406,63.62699
146,0,0.19,0.81,0.7046332,0.002813041,0.1327953,0.8071672,0,0.9181655,62.9271
147,0,0.19,0.81,0.7076536,0.003020406,0.1700199,0.747552,0,0.8428509,74.09716
148,0,0.22,0.78,0.7155105,0.007856965,0.2009939,0.7318349,0,0.8219442,79.38145
149,0,0.21,0.79,0.7171376,0.001627088,0.1859556,0.7162442,0,0.8015618,88.03326
150,0,0.24,0.76,0.7169074,-0.0002302527,0.1628611,0.7826508,0,0.8700736,68.42953
151,0,0.22,0.78,0.7201817,0.003274322,0.1731015,0.7056054,0,0.8076718,88.75754
152,0,0.25,0.75,0.7246399,0.004458189,0.1765618,0.7213655,0,0.8239126,66.19363
153,0,0.16,0.84,0.7287882,0.004148304,0.129965,0.8128039,0,0.9129466,86.90935
154,0,0.22,0.78,0.7301084,0.001320243,0.1981419,0.723377,0,0.8379828,59.04562
155,0,0.14,0.86,0.7254997,-0.00460875,0.1015977,0.8289906,0,0.924028,85.37202
156,0,0.21,0.79,0.7282429,0.002743244,0.1854933,0.7517624,0,0.8687296,76.29851
157,0,0.21,0.79,0.7246486,-0.003594339,0.1868545,0.7239799,0,0.7809083,71.00724
158,0,0.24,0.76,0.7207807,-0.003867924,0.1734779,0.7684448,0,0.8473042,75.68544
159,0,0.15,0.85,0.7219359,0.001155198,0.1330495,0.8101104,0,0.90489,92.27222
160,0,0.21,0.79,0.7213708,-0.0005651116,0.1691389,0.7472522,0,0.816843,67.03763
161,0,0.22,0.78,0.7216651,0.0002943873,0.1876528,0.7203451,0,0.8056975,88.5936
162,0,0.2,0.8,0.7223085,0.0006433129,0.1493529,0.8101524,0,0.8970094,65.03381
163,0,0.16,0.84,0.7258942,0.003585696,0.1719614,0.7892934,0,0.8911711,80.30978
164,0,0.18,0.82,0.7274479,0.001553774,0.1457377,0.7593308,0,0.8473972,84.63275
165,0,0.15,0.85,0.7270175,-0.0004304647,0.1379875,0.7984067,0,0.9115543,88.43779
166,0,0.15,0.85,0.7260317,-0.0009858012,0.1461296,0.7998521,0,0.8758206,69.88045
167,0,0.19,0.81,0.7257595,-0.0002721548,0.1696153,0.7651361,0,0.8952312,78.5574
168,0,0.11,0.89,0.7220663,-0.003693223,0.1242116,0.806655,0,0.8839333,84.31462
169,0,0.15,0.85,0.7214277,-0.0006386042,0.1391427,0.7931504,0,0.8839554,84.10536
170,0,0.2,0.8,0.7177338,-0.003693879,0.1723824,0.7486828,0,0.8388329,91.47091
171,0,0.14,0.86,0.7117814,-0.005952418,0.1187918,0.8022035,0,0.8935211,79.81838
172,0,0.15,0.85,0.7096829,-0.002098441,0.1490695,0.742076,0,0.8178375,70.74301
173,0,0.14,0.86,0.7117951,0.00211215,0.1610395,0.7789589,0,0.853331,83.4905
174,0,0.2,0.8,0.7102894,-0.001505673,0.1647388,0.7895793,0,0.8902703,71.50557
175,0,0.16,0.84,0.7078339,-0.002455533,0.1488766,0.7895542,0,0.8767561,75.2634
176,0,0.21,0.79,0.7089233,0.001089454,0.1857966,0.7630641,0,0.8574123,78.21841
177,0,0.22,0.78,0.7078183,-0.001105011,0.2045207,0.7166625,0,0.8191988,70.34557
178,0,0.29,0.71,0.7059144,-0.001903892,0.2280419,0.7049459,0,0.779031,83.1188
179,0,0.27,0.73,0.705614,-0.000300467,0.1997707,0.7292128,0,0.8091715,89.98978
180,0,0.22,0.78,0.7062376,0.0006235838,0.167926,0.7669017,0,0.8449459,72.38209
181,0,0.18,0.82,0.7067104,0.0004728436,0.1743461,0.7361027,0,0.7932997,63.45088
182,0,0.22,0.78,0.7052863,-0.001424134,0.1779074,0.7534974,0,0.8414226,63.01231
183,0,0.15,0.85,0.7083685,0.003082216,0.1562248,0.7940677,0,0.8904946,78.52178
184,0,0.22,0.78,0.7044145,-0.003953993,0.17938,0.7233869,0,0.8407854,80.36153
185,0,0.25,0.75,0.6964628,-0.007951736,0.1851613,0.7066237,0,0.8067617,50.77083
186,0,0.18,0.82,0.6946273,-0.001835465,0.1617589,0.7490051,0,0.8380795,85.18076
187,0,0.18,0.82,0.6913519,-0.003275394,0.1482151,0.7492825,0,0.8272034,78.9173
188,0,0.18,0.82,0.693022,0.001670063,0.1371938,0.7624652,0,0.9148404,79.11556
189,0,0.18,0.82,0.6928671,-0.0001548529,0.1572641,0.779003,0,0.9023314,44.41227
190,0,0.12,0.88,0.6891785,-0.003688574,0.1319315,0.7621394,0,0.8524371,70.11145
191,0,0.23,0.77,0.6948671,0.005688548,0.1405228,0.7439848,0,0.8724552,73.44608
192,0,0.2,0.8,0.6975652,0.002698123,0.1380434,0.7876353,0,0.8705591,88.80556
193,0,0.22,0.78,0.6990725,0.001507282,0.1856584,0.7514439,0,0.8592342,74.89277
194,0,0.22,0.78,0.6978857,-0.001186788,0.1688234,0.7428834,0,0.820761,84.48827
195,0,0.13,0.87,0.6982872,0.0004015565,0.1173568,0.7918072,0,0.8989093,77.84928
196,0,0.23,0.77,0.7027571,0.004469812,0.1952976,0.7050347,0,0.7794699,90.60697
197,0,0.21,0.79,0.7030684,0.0003113151,0.1803327,0.7034913,0,0.8459615,65.39117
198,0,0.23,0.77,0.7069527,0.003884315,0.2000094,0.6543199,0,0.7631047,68.21692
199,0,0.19,0.81,0.7133738,0.006421149,0.1573401,0.7641909,0,0.8786986,72.97675
200,0,0.14,0.86,0.7182186,0.004844725,0.1102984,0.8000294,0,0.8972284,89.84457
201,0,0.22,0.78,0.7231022,0.004883647,0.1768739,0.728421,0,0.8387782,85.37435
202,0,0.18,0.82,0.721532,-0.001570225,0.1537395,0.7432365,0,0.831901,92.89908
203,0,0.28,0.72,0.7225192,0.0009871721,0.1834395,0.7264984,0,0.8064815,68.41301
204,0,0.14,0.86,0.7246992,0.00218004,0.124046,0.8025938,0,0.9094198,76.04356
205,0,0.22,0.78,0.7303778,0.005678594,0.156107,0.776723,0,0.8449131,75.80321
206,0,0.21,0.79,0.7354211,0.005043328,0.1647388,0.7654092,0,0.8536643,84.14169
207,0,0.14,0.86,0.7345161,-0.0009049773,0.1308649,0.7817183,0,0.8491229,67.74261
208,0,0.15,0.85,0.7377331,0.003216982,0.1562248,0.7692317,0,0.891551,87.48978
209,0,0.2,0.8,0.7393134,0.001580238,0.1890022,0.7035639,0,0.827779,65.77747
210,0,0.18,0.82,0.7386934,-0.0006200075,0.1584449,0.7389091,0,0.8239323,56.06117
211,0,0.16,0.84,0.7371572,-0.001536131,0.1349878,0.7837875,0,0.8713034,64.21805
