frame,running,walking,idle,S,dS,p_iw,p_wi,p_iwr,p_ri,fps
1,0,0.3,0.7,0.6785581,0.6785581,0.2025755,0.7185411,0,0.7988402,75.31793
2,0,0.18,0.82,0.6800947,0.001536548,0.1073437,0.8367702,0,0.9122333,66.88949
3,0,0.23,0.77,0.6786738,-0.001420856,0.1916873,0.7536027,0,0.8513732,85.62759
4,0,0.2,0.8,0.6811251,0.002451301,0.154266,0.7506035,0,0.9073324,88.39516
5,0,0.19,0.81,0.6839404,0.002815306,0.1917079,0.7406551,0,0.8399187,72.5134
6,0,0.14,0.86,0.6873733,0.00343287,0.1108605,0.7940975,0,0.8911123,90.16936
7,0,0.2,0.8,0.689583,0.002209723,0.149207,0.760227,0,0.8546491,72.38377
8,0,0.13,0.87,0.6979551,0.008372128,0.1344262,0.8233435,0,0.9027637,80.08698
9,0,0.22,0.78,0.6976979,-0.0002572536,0.200247,0.7402263,0,0.8760865,65.52724
10,0,0.21,0.79,0.6990389,0.001341045,0.1997707,0.7404926,0,0.875671,66.61652
11,0,0.13,0.87,0.7004179,0.001379013,0.1304141,0.7856548,0,0.8843117,69.27489
12,0,0.2,0.8,0.7046779,0.004260004,0.1460623,0.7564737,0,0.8566104,72.29984
13,0,0.19,0.81,0.7024564,-0.002221525,0.1588815,0.7604853,0,0.8426501,79.51508
14,0,0.18,0.82,0.6988568,-0.003599644,0.1450697,0.762493,0,0.8822808,86.09338
15,0,0.19,0.81,0.695041,-0.00381577,0.1686232,0.7410718,0,0.8664713,80.9121
16,0,0.17,0.83,0.6947359,-0.0003051162,0.1431505,0.7884337,0,0.8897879,79.33298
17,0,0.15,0.85,0.6962844,0.001548469,0.1398711,0.7844226,0,0.8827736,81.4256
18,0,0.15,0.85,0.6932603,-0.003024101,0.1335656,0.7983902,0,0.8969574,69.31494
19,0,0.25,0.75,0.6880268,-0.005233467,0.1982829,0.6965269,0,0.8381625,81.69228
20,0,0.21,0.79,0.6894187,0.001391888,0.1605327,0.7632483,0,0.8924223,58.57747
21,0,0.27,0.73,0.6907311,0.001312435,0.1911363,0.6986737,0,0.8023412,73.43742
22,0,0.19,0.81,0.7012703,0.01053923,0.1446269,0.7774081,0,0.883131,78.14196
23,0,0.17,0.83,0.7109849,0.009714544,0.1274885,0.7806621,0,0.898043,88.60116
24,0,0.24,0.76,0.7144807,0.003495812,0.1978031,0.7243354,0,0.8501605,72.7384
25,0,0.13,0.87,0.7166545,0.002173841,0.1291521,0.8207922,0,0.9373425,69.67431
26,0,0.21,0.79,0.723425,0.006770432,0.1557625,0.7666368,0,0.8766224,84.96255
27,0,0.15,0.85,0.7222493,-0.001175702,0.1493529,0.8084572,0,0.8907742,85.1412
28,0,0.22,0.78,0.720348,-0.001901269,0.1876528,0.737248,0,0.8189753,75.41267
29,0,0.19,0.81,0.7124541,-0.00789392,0.1676928,0.7690331,0,0.894527,83.62487
30,0,0.19,0.81,0.7059755,-0.006478608,0.1867387,0.7245291,0,0.8397018,71.41876
31,0,0.23,0.77,0.7049894,-0.0009860396,0.1955577,0.7498189,0,0.8393375,64.28292
32,0,0.17,0.83,0.7031209,-0.001868486,0.1670175,0.7457148,0,0.8415993,79.92683
33,0,0.26,0.74,0.7023444,-0.0007765293,0.1943336,0.7044956,0,0.7945355,60.14479
34,0,0.23,0.77,0.7031192,0.0007748008,0.1782609,0.692102,0,0.8173649,90.08339
35,0,0.11,0.89,0.7029097,-0.0002095103,0.1377176,0.8016941,0,0.8992835,80.22298
36,0,0.16,0.84,0.7042894,0.001379669,0.1381732,0.799818,0,0.9186679,81.22195
37,0,0.22,0.78,0.7047669,0.0004775524,0.1890022,0.6926159,0,0.7826548,82.72842
38,0,0.19,0.81,0.7054048,0.0006378293,0.1640151,0.7595316,0,0.8611372,82.29606
39,0,0.24,0.76,0.7091995,0.00379473,0.1859977,0.6905726,0,0.7735103,68.19453
40,0,0.18,0.82,0.7109361,0.001736581,0.1476728,0.7895136,0,0.8724485,67.38536
